Fold,Train AUC,Validation AUC
1,0.9112111691567029,0.7938110666274726
2,0.9275034492147013,0.7947574475598073
3,0.9217150998950503,0.7956396024470717
4,0.9110679096444827,0.7946468031277666
5,0.9160988700461569,0.790089071213223
