Fold,Train AUC,Validation AUC
1,0.921147255845641,0.7931603043830113
2,0.911442745529703,0.793732450623954
3,0.9244352757915423,0.7954550467963732
4,0.9061000128436131,0.7938606184995834
5,0.8928220434447569,0.789120985001705
