Fold,Train AUC,Validation AUC
1,0.926431137487496,0.7943261852726056
2,0.9115362878538859,0.7946675457352288
3,0.9292327442326669,0.79606015278023
4,0.8961076021622763,0.7945046484297682
5,0.9092917666953989,0.7898050788803072
